"Reference","Sentence"
"en.wikipedia.org","<s> When John Galt is captured by the looters, Ferris uses the device on Galt, but it breaks down before extracting the information Ferris wants from Galt. </s>"
"en.wikipedia.org","<s> Cracking breaks larger molecules into smaller ones. </s>"
"en.wikipedia.org","<s> The asteroids rotate, and the added ""killer satellite"" enemy breaks apart into three smaller ships when hit that home the player''s position. </s>"
"en.wikipedia.org","<s> Hence ""S"" breaks up into uncountably many orbits under ""G"". </s>"
"en.wikipedia.org","<s> Alex breaks in and knocks the woman unconscious, but when he opens the door to let the others in, Dim strikes him in payback for the earlier fight. </s>"
"en.wikipedia.org","<s> ""Kurosawa breaks up the action, fragments it, in order to create an emotional effect."" </s>"
"en.wikipedia.org","<s> The latter breaks down to 238Pu and then to 234U. </s>"
"en.wikipedia.org","<s> For instance, a thief who breaks into a house by picking a lock and is caught before taking anything would still owe the victim for violating the sanctity of his property rights. </s>"
"en.wikipedia.org","<s> It breaks language down and analyses its component parts: theory, sounds and their meaning, utterance usage, word origins, the history of words, the meaning of words and word combinations, sentence construction, basic construction beyond the sentence level, stylistics, and conversation. </s>"
"en.wikipedia.org","<s> This method of analysis breaks up the text linguistically in a study of prosody (the formal analysis of meter) and phonic effects such as alliteration and rhyme, and cognitively in examination of the interplay of syntactic structures, figurative language, and other elements of the poem that work to produce its larger effects. </s>"
"en.wikipedia.org","<s> Neither breaks down quickly in sunlight. </s>"
"en.wikipedia.org","<s> This relationship however breaks down with very large DNA fragments, and separation of very large DNA fragments requires the use of pulsed field gel electrophoresis (PFGE). </s>"
"en.wikipedia.org","<s> The Ogston model however breaks down for large molecules whereby the pores are significantly smaller than size of the molecule. </s>"
"en.wikipedia.org","<s> ""We have never allowed ourselves to knead dough for the bread that breaks the fast in the holy month of Ramadan with children''s blood,"" he said. </s>"
"en.wikipedia.org","<s> As the ship breaks up, seven escape pods, each containing a faction, are scattered across Planet. </s>"
"en.wikipedia.org","<s> This would mean that the algorithm''s running time breaks down as follows:formula_21 (""for n ≥ 1"") formula_22 </s>"
"en.wikipedia.org","<s> A truck breaks down. </s>"
"en.wikipedia.org","<s> Upon ingestion, aspartame breaks down into residual components, including aspartic acid, phenylalanine, methanol, in ratio of 4:5:1 by mass and further breakdown products including formaldehyde and formic acid, accumulation of the latter being suspected as the major cause of injury in methanol poisoning. </s>"
"en.wikipedia.org","<s> Aspartame is less suitable for baking than other sweeteners, because it breaks down when heated and loses much of its sweetness. </s>"
"en.wikipedia.org","<s> A mode of reproduction resembling multiple fission, common among Protozoa, in which the organism breaks up into a number of pieces, or spores, each of which eventually develops into an organism like the parent form. </s>"
"en.wikipedia.org","<s> To produce hydroxide ions in water, the alkali breaks apart into ions as below: </s>"
"en.wikipedia.org","<s> Nora leaves her keys and wedding ring and, as Torvald breaks down and begins to cry, baffled by what has happened, Nora leaves the house, slamming the door behind herself. </s>"
"en.wikipedia.org","<s> As a result, Elsie breaks off their relationship out of loyalty to her father. </s>"
"en.wikipedia.org","<s> When their wagon breaks down, they make their way to a small hut, home to two former Union soldiers, who agree to hide them. </s>"
"en.wikipedia.org","<s> Disguised Klansmen spies discover Elsie''s plight when she breaks a window and cries for help and leave to get help. </s>"
"en.wikipedia.org","<s> Beginning with the advent of beat match DJ''ing, in which Bronx DJs (Disc Jockeys) including Grandmaster Flash, Afrika Bambaataa and DJ Kool Herc extended the breaks of funk records, a major new musical genre emerged that sought to isolate the percussion breaks of hit funk, disco and soul songs. </s>"
"en.wikipedia.org","<s> The single primordial beryllium isotope 9Be also undergoes a (n,2n) neutron reaction with neutron energies over about 1.9 MeV, to produce 8Be, which almost immediately breaks into two alpha particles. </s>"
"en.wikipedia.org","<s> A well-known example is methanol, which is only mildly toxic and minimally intoxicating, and breaks down into the substances formaldehyde and formic acid which in turn can cause blindness, an array of other health complications, and death. </s>"
"en.wikipedia.org","<s> For example, in the Set Position, the pitcher must ""com to a complete stop""; thereafter, ""any natural motion associated with his delivery of the ball to the batter commits him to the pitch without alteration or interruption."" A runner intending to ""steal on the pitcher"" breaks for the next base the moment the pitcher commits to pitch to home plate. </s>"
"en.wikipedia.org","<s> If the runner breaks too soon (before the pitcher is obliged to complete a pitch), the pitcher may throw to a base rather than pitch, and the runner is usually ""picked off"" by being tagged out between the bases. </s>"
"en.wikipedia.org","<s> The resulting fight between the townsfolk and Lamarr''s army of thugs breaks the fourth wall, literally. </s>"
"en.wikipedia.org","<s> The bass guitarist sometimes breaks out of the strict rhythm section role to perform bass breaks or bass solos. </s>"
"en.wikipedia.org","<s> Freyja is so wrathful that all the Æsir''s halls beneath her are shaken and the necklace Brísingamen breaks off from her neck. </s>"
"en.wikipedia.org","<s> The International Federation of Sport Climbing (IFSC) employs an indoor format that breaks the competition into three rounds: qualifications, semi-finals, and finals. </s>"
"en.wikipedia.org","<s> Lysis, by tailed phages, is achieved by an enzyme called endolysin, which attacks and breaks down the cell wall peptidoglycan. </s>"
"en.wikipedia.org","<s> Metabolism has two distinct divisions: catabolism, in which the cell breaks down complex molecules to produce energy and reducing power, and anabolism, in which the cell uses energy and reducing power to construct complex molecules and perform other biological functions. </s>"
"en.wikipedia.org","<s> The narrative was told in great detail in Tacitus'' History, book iv, although, unfortunately, the narrative breaks off abruptly at the climax. </s>"
"en.wikipedia.org","<s> The goat with the mighty horn, becomes very powerful until the horn breaks off and is replaced by four ""lesser"" horns. </s>"
"en.wikipedia.org","<s> Ripken breaks the streak (1995) </s>"
"en.wikipedia.org","<s> Her book, which is largely written in prose, frequently breaks into poetry or jubilation, much like Revelation itself. </s>"
"en.wikipedia.org","<s> When the ice breaks up in spring, beavers usually leave their lodges and roam until just before autumn, when they return to their old lodges and gather their winter stock of wood. </s>"
"en.wikipedia.org","<s> A mash rest at activates β-glucanase, which breaks down gummy β-glucans in the mash, making the sugars flow out more freely later in the process. </s>"
"en.wikipedia.org","<s> Since only the u and d mass are similar, this description of particle mass and charge in terms of isospin and flavour quantum numbers works well only for octet and decuplet made of one u, one d, and one other quark, and breaks down for the other octets and decuplets (for example, ucb octet and decuplet). </s>"
"en.wikipedia.org","<s> Through hydrolysis, the lactamase enzyme breaks the β-Lactam ring open, deactivating the molecule''s antibacterial properties. </s>"
"en.wikipedia.org","<s> Commodore Schmidlapp accidentally breaks the vials containing the powdered Council members, mixing them together. </s>"
"en.wikipedia.org","<s> Catwoman kisses Max with an electrical taser between their lips and breaks an electric wire, creating an explosion which kills Max but Batman cannot find Selina''s corpse. </s>"
"en.wikipedia.org","<s> Covenants in ancient times were sometimes sealed by severing an animal, with the implication that the party who breaks the covenant will suffer a similar fate. </s>"
"en.wikipedia.org","<s> After a full-scale war breaks out, the Centauri with the help of the Shadows through Londo eventually conquer Narn in a brutal attack involving mass drivers, outlawed weapons of mass destruction. </s>"
"en.wikipedia.org","<s> Open warfare breaks out between the Shadows and the alliance led by Babylon 5 and the Minbari. </s>"
"en.wikipedia.org","<s> He only recovers physically and socially and breaks the cycle at the end of the season. </s>"
"en.wikipedia.org","<s> From there comes the above-mentioned quote, which is used when someone breaks ranks before battle. </s>"
"en.wikipedia.org","<s> Auto-brewery syndrome is a rare medical condition where the stomach produces brewers yeast that breaks down starches into ethanol; which enters the blood stream. </s>"
"en.wikipedia.org","<s> In the lessons, as in the psalms, the order for special days breaks in upon the normal order of ferial offices and dislocates the scheme for consecutive reading. </s>"
"en.wikipedia.org","<s> He told ""Colors"" magazine in 2003 that he periodically breaks his fasting with a cheeseburger and a cola, explaining that when he''s surrounded by junk culture and junk food, consuming them adds balance. </s>"
"en.wikipedia.org","<s> A shift of power from the hands of the people to corporate and business elites weakens the overall democratic power of the citizenry, as it breaks down the power relations between political parties and the people. </s>"
"en.wikipedia.org","<s> However, some apparently deep-focus shots were the result of in-camera effects, as in the famous scene where Kane breaks into Susan Alexander''s room after her suicide attempt. </s>"
"en.wikipedia.org","<s> At night, a desert bandit named Lo (Chang Chen) breaks into Jen''s bedroom and asks her to leave with him. </s>"
"en.wikipedia.org","<s> If a player breaks the rules of a game deliberately, this is cheating. </s>"
"en.wikipedia.org","<s> These methods are very dangerous and potentially lethal; if the condom breaks , the drugs inside become absorbed into the bloodstream and can cause an overdose. </s>"
"en.wikipedia.org","<s> The barrier breaks down and liquefies after several hours. </s>"
"en.wikipedia.org","<s> Other examples include magnetized ferromagnets, which break rotational symmetry, and more exotic states such as the ground state of a BCS superconductor, that breaks U(1) rotational symmetry. </s>"
"en.wikipedia.org","<s> He blamed hoop-rolling boys for driving their iron hoops under horses'' legs, with the result that the rider is thrown and very often the horse breaks a leg. </s>"
"en.wikipedia.org","<s> Bruce Schneier notes that even computationally impractical attacks can be considered breaks : ""Breaking a cipher simply means finding a weakness in the cipher that can be exploited with a complexity less than brute force. </s>"
"en.wikipedia.org","<s> The bacterial activity in rapid high heat methods breaks down the material to the extent that pathogens and seeds are destroyed, and the original feedstock is unrecognizable. </s>"
"en.wikipedia.org","<s> Treating biodegradable waste before it enters a landfill reduces global warming from fugitive methane; untreated waste breaks down anaerobically in a landfill, producing landfill gas that contains methane, a potent greenhouse gas. </s>"
"en.wikipedia.org","<s> Our intuition gained from finite sets breaks down when dealing with infinite sets. </s>"
"en.wikipedia.org","<s> A decomposition reaction is the opposite of a synthesis reaction, where a more complex substance breaks down into its more simple parts. </s>"
