bn:00000013n;Million;million_209.35;number_146.31;mathematics_61.3;long scale_53.31;real number_50.43;numeral_50.35;short scale_50.12;digit_42.17;bally_41.77;millionaire_41.31;penguin_41.11;markov_40.61;complex number_38.37;infinity_36.79
bn:00000086n;Day;day_635.03;planet_259.64;sun_258.79;earth_255.66;calendar_249.75;time_241.25;clock_211.54;moon_184.24;orbit_169.14;month_150.51;hour_132.02;decimal_126.9;astronomical_111.73;leap year_102.2
bn:00000116n;Quarto;shakespeare_1768.19;quarto_653.03;play_455.97;henry vi_404.57;edition_332.93;hamlet_332.66;folio_295.89;titus_260.9;shrew_241.83;print_210.72;sonnet_197.9;octavo_180.97;petruchio_159.51;henry_144.59
bn:00000122n;Serotonin;serotonin_1841.08;5-ht_1605.34;receptor_1254.36;agonist_379.61;2c_368.6;neurotransmitter_355.56;leptin_283.0;drug_271.04;tryptophan_255.0;dopamine_239.95;serotonergic_204.52;antagonist_187.54;antidepressant_168.76;neuron_167.81
bn:00000125n;Sextet;number_657.44;digit_240.04;sextet_157.44;divisor_137.04;sum_130.18;numeral_91.21;six_85.29;prime_83.38;harshad_83.36;duodecimal_80.9;perfect_77.23;integer_74.51;twelve_69.88;semiperfect_58.71
bn:00000127n;Hour;clock_870.41;hour_501.04;time_326.68;day_188.78;use_174.69;decimal_162.75;unit_143.43;watch_133.83;dial_124.73;sundial_121.28;timekeeping_118.3;measure_113.06;astronomical_112.85;time zone_112.52
bn:00000137n;Octavo;book_474.15;octavo_359.28;quarto_214.52;edition_179.84;page_177.73;print_177.03;library_176.49;folio_157.14;sheet_92.96;public library_90.17;text_87.68;manuscript_84.1;size_79.35;burn_78.66
bn:00000141n;Angstrom;atom_265.6;wavelength_246.08;x-ray_222.37;unit_184.31;molecule_137.65;crystal_118.62;electron_114.42;scattering_113.35;length_108.48;diffraction_108.04;light_101.52;bond_99.56;radius_99.09;ångström_95.49
bn:00000144n;Adenine;dna_1370.02;rna_1228.36;nucleotide_645.23;adenine_622.47;molecule_411.39;strand_410.48;guanine_380.64;purine_358.83;uracil_349.13;thymine_319.85;sequence_311.28;cytosine_300.27;nucleic acid_292.3;protein_288.63
bn:00000145n;Year;calendar_677.16;day_534.05;unit_491.62;month_414.19;year_411.34;earth_293.78;leap year_259.71;gregorian calendar_243.11;sun_229.23;metric system_205.75;measurement_205.08;precession_194.55;measure_191.2;length_175.24
bn:00000146n;A;letter_635.87;alphabet_263.04;selector_211.68;layout_180.75;use_177.82;vowel_174.63;word_167.69;keyboard_133.13;language_130.45;typeface_129.64;latin_128.29;glyph_127.01;font_124.48;jis_119.99
