parola1,parola2,score
recessione,PIL,2
Cesare,Giulio Cesare,3
paziente,sessione,2
comportamentismo,terapia,1
imperatore,costituzione,1
matematico,spettacolo,0
entropia,informazione,2
acqua di rose,olio di rosa,2
agrume,pompelmo,3
Regina Vittoria,Inghilterra,2
Giochi Olimpici,spirito,1
vescovo,musulmano,2
uomo,sospetto,1
meteorite,Terra,2
simbolo,segno,2
antropologia,New York,0
tramonto,tavolo,0
cittadina,città,3
giacca,acqua minerale,0
natura,flora,2
subroutine,compilatore,2
Hamadan,Roma,2
ombrello,stufa,0
onore,stima,3
insegna,dignità,1
KFC,McDonald's,3
joystick,radar,2
basmati,riso jasmine,3
medaglia,scarpe da ginnastica,1
legge,piscina,0
sorgente,scatola,0
teatro,batteria,1
flora,web browser,0
camicia,cardigan,2
poema,ritmo,1
profeta,prete,2
Oscar,stadio,1
backgammon,Go,3
farfalla,rosa,2
recinto,salto,3
nichilismo,film,2
asteroide,stella,2
sommossa,disegno,0
intimo,corpo,3
Boeing,aereo,3
cameo,interpretazione,2
semestre,quadrimestre,3
arancia,agrume,3
ghiacciaio,riscaldamento globale,3
galleria,percorso,2
