parola1,parola2,babelID1,babelID2
recessione,PIL,bn:00066516n,bn:00037570n
Cesare,Giulio Cesare,bn:17145600n,bn:00014550n
paziente,sessione,bn:00061017n,bn:00076588n
comportamentismo,terapia,bn:00009659n,bn:00076843n
imperatore,costituzione,bn:00014550n,bn:00014550n
matematico,spettacolo,bn:00053834n,bn:14221541n
entropia,informazione,bn:00031061n,bn:00046705n
acqua di rose,olio di rosa,bn:00068288n,bn:00007010n
agrume,pompelmo,bn:00019301n,bn:00019313n
Regina Vittoria,Inghilterra,bn:00065652n,bn:00013173n
Giochi Olimpici,spirito,bn:00058910n,bn:00040370n
vescovo,musulmano,bn:27267995n,bn:00055975n
uomo,sospetto,bn:00044576n,bn:00025884n
meteorite,Terra,,
simbolo,segno,,
antropologia,New York,,
tramonto,tavolo,,
cittadina,città,,
giacca,acqua minerale,,
natura,flora,,
subroutine,compilatore,,
Hamadan,Roma,,
ombrello,stufa,,
onore,stima,,
insegna,dignità,,
KFC,McDonald's,,
joystick,radar,,
basmati,riso jasmine,,
medaglia,scarpe da ginnastica,,
legge,piscina,,
sorgente,scatola,,
teatro,batteria,,
flora,web browser,,
camicia,cardigan,,
poema,ritmo,,
profeta,prete,,
Oscar,stadio,,
backgammon,Go,,
farfalla,rosa,,
recinto,salto,,
nichilismo,film,,
asteroide,stella,,
sommossa,disegno,,
intimo,corpo,,
Boeing,aereo,,
cameo,interpretazione,,
semestre,quadrimestre,,
arancia,agrume,,
ghiacciaio,riscaldamento globale,,
galleria,percorso,,
