word1, word2, Wu & Palmer, Shortest Path, Leakcock & Chodorow, gold
love, sex, 9.23, 9.75, 9.93, 6.77
tiger, cat, 9.66, 9.75, 9.93, 7.35
tiger, tiger, 10.00, 10.00, 10.00, 10.0
book, paper, 8.75, 9.50, 8.07, 7.46
computer, keyboard, 8.24, 9.25, 6.98, 7.62
computer, internet, 6.32, 8.25, 4.69, 7.58
plane, car, 7.27, 8.50, 5.11, 5.77
train, car, 7.37, 8.75, 5.60, 6.31
telephone, communication, 1.67, 7.50, 3.73, 7.5
television, radio, 9.09, 9.50, 8.07, 6.77
media, radio, 8.24, 9.25, 6.98, 7.42
drug, abuse, 1.82, 7.75, 4.02, 6.85
bread, butter, 7.50, 9.50, 8.07, 6.19
cucumber, potato, 8.24, 9.25, 6.98, 5.92
doctor, nurse, 8.24, 9.50, 8.07, 7.0
professor, doctor, 6.67, 8.50, 5.11, 6.62
student, professor, 5.33, 8.25, 4.69, 6.81
smart, student, 1.33, 6.75, 3.03, 4.62
smart, stupid, 1.33, 6.75, 3.03, 5.81
company, stock, 6.15, 8.75, 5.60, 7.08
stock, market, 5.56, 8.50, 5.11, 8.08
stock, phone, 7.00, 8.50, 5.11, 1.62
stock, CD, 7.37, 8.75, 5.60, 1.31
stock, jaguar, 8.15, 8.75, 5.60, 0.92
stock, egg, 6.25, 8.50, 5.11, 1.81
fertility, egg, 1.54, 7.25, 3.48, 6.69
stock, live, 2.86, 8.75, 5.60, 3.73
stock, life, 6.15, 8.75, 5.60, 0.92
book, library, 8.00, 9.50, 8.07, 7.46
bank, money, 5.71, 8.50, 5.11, 8.12
wood, forest, 10.00, 10.00, 10.00, 7.73
money, cash, 8.75, 9.50, 8.07, 9.15
professor, cucumber, 5.00, 7.00, 3.24, 0.31
king, cabbage, 5.71, 7.75, 4.02, 0.23
king, queen, 10.00, 10.00, 10.00, 8.58
king, rook, 9.09, 9.50, 8.07, 5.92
bishop, rabbi, 7.50, 9.00, 6.20, 6.69
